size_code,size_name,weight,北海道,北東北,南東北,関東,信越,北陸,中部,関西,中国,四国,九州,沖縄
60,60cm以内,2kg以内,1610,1190,1060,940,940,940,940,940,1060,1060,1190,1610
80,80cm以内,5kg以内,1900,1480,1350,1230,1230,1230,1230,1230,1350,1350,1480,2230
100,100cm以内,10kg以内,2200,1790,1650,1530,1530,1530,1530,1530,1650,1650,1790,2860
120,120cm以内,15kg以内,2520,2110,1970,1850,1850,1850,1850,1850,1970,1970,2110,3510
140,140cm以内,20kg以内,2860,2450,2310,2190,2190,2190,2190,2190,2310,2310,2450,4180
160,160cm以内,25kg以内,3180,2770,2630,2510,2510,2510,2510,2510,2630,2630,2770,4830
180,180cm以内,30kg以内,5380,4090,3730,3060,3060,3060,3060,3060,3730,3730,4090,8020
compact,コンパクト,なし,1000,830,780,720,720,720,720,720,780,780,830,1000
yupacket,ゆうパケット,1kg以内,360,360,360,360,360,360,360,360,360,360,360,360
